id,agency_name,agency_website,client_name,client_website,evidence_url,evidence_text,extraction_method,confidence,verification_status,territory
7,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Customer promise,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,about-page-content checkout-content,portfolio_h2_text,0.72,machine_extracted_unverified,
25,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,customer support,https://www.HugeDomains.com/contact.cfm,https://www.hugedomains.com/about.cfm,link blueLink about-page-content,portfolio_a_text,0.64,machine_extracted_unverified,
26,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Escrow.com,https://www.HugeDomains.com/escrow.cfm,https://www.hugedomains.com/about.cfm,link blueLink about-page-content,portfolio_a_text,0.64,machine_extracted_unverified,
8,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Escrow.com is a HugeDomains partner,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,Escrow.com is a HugeDomains partner d-flex jc-center threeColFooterNavLogo5 d-flex badge-row ai-center threeColFooterNavLogos,portfolio_aria-label,0.72,machine_extracted_unverified,
27,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,FAQ,https://www.HugeDomains.com/faq.cfm,https://www.hugedomains.com/about.cfm,link blueLink about-page-content,portfolio_a_text,0.64,machine_extracted_unverified,
28,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,FAQs,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,nav-item navbar-nav overlayMenu d-flex ai-center jc-between,portfolio_li_text,0.64,machine_extracted_unverified,
29,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,frequently asked questions,https://www.HugeDomains.com/faq.cfm,https://www.hugedomains.com/about.cfm,link blueLink about-page-content,portfolio_a_text,0.64,machine_extracted_unverified,
9,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Header Domain Search,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,search-input hdv3HeaderSearchTextID Header Domain Search search-form siteHeaderFormSearchID search-box hdv3HeaderSearchBoxDivID,portfolio_aria-label,0.72,machine_extracted_unverified,
10,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Helpful Tips,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,font24 colorWhite col d-flex footer-links jc-between threeColFooterNav,portfolio_h4_text,0.72,machine_extracted_unverified,
30,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,here,https://www.HugeDomains.com/testimonials.cfm,https://www.hugedomains.com/about.cfm,link blueLink about-page-content,portfolio_a_text,0.64,machine_extracted_unverified,
11,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,HugeDomains Phone Number,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,header-tel headerMobileSearchPhone HugeDomains Phone Number search-trigger d-flex ai-center jc-end,portfolio_aria-label,0.72,machine_extracted_unverified,
20,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,logo,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,img-fluid logo header-top d-flex ai-center,portfolio_image_alt,0.7,machine_extracted_unverified,
31,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Managing your domain,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,side-about-menu checkout-aside ml-15,portfolio_li_text,0.64,machine_extracted_unverified,
32,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Money-back guarantee,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,side-about-menu checkout-aside ml-15,portfolio_li_text,0.64,machine_extracted_unverified,
12,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,more.,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,more. container footer,portfolio_aria-label,0.72,machine_extracted_unverified,
33,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,My account,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,nav-item navbar-nav overlayMenu d-flex ai-center jc-between,portfolio_li_text,0.64,machine_extracted_unverified,
13,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,My favorites,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,whiteLink hdv3HeaderFavIconLinkID My favorites cart-icon favorit-ico shop-links,portfolio_aria-label,0.72,machine_extracted_unverified,
34,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,NameBright.com,https://www.HugeDomains.com/namebright.cfm,https://www.hugedomains.com/about.cfm,link blueLink about-page-content,portfolio_a_text,0.64,machine_extracted_unverified,
14,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,NameBright.com is a HugeDomains partner,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,NameBright.com is a HugeDomains partner d-flex jc-center threeColFooterNavLogo2 d-flex badge-row ai-center threeColFooterNavLogos,portfolio_aria-label,0.72,machine_extracted_unverified,
15,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Navigation Toggle,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,navBurger navToggle Navigation Toggle header-top d-flex ai-center container,portfolio_aria-label,0.72,machine_extracted_unverified,
35,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Overview,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,footer-menu col,portfolio_li_text,0.64,machine_extracted_unverified,
36,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Pay with Escrow.com,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,side-about-menu checkout-aside ml-15,portfolio_li_text,0.64,machine_extracted_unverified,
37,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,payment plans,https://www.HugeDomains.com/payment-plans.cfm,https://www.hugedomains.com/about.cfm,link blueLink about-page-content,portfolio_a_text,0.64,machine_extracted_unverified,
21,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,People raising a flag on a mountaintop,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,content-image about-page-content checkout-content,portfolio_image_alt,0.7,machine_extracted_unverified,
16,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Safe and secure,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,font24 colorWhite col d-flex footer-links jc-between threeColFooterNav,portfolio_h4_text,0.72,machine_extracted_unverified,
17,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Shopping Cart,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,whiteLink hdv3HeaderShoppingCartLinkID Shopping Cart cart-icon shop-links,portfolio_aria-label,0.72,machine_extracted_unverified,
38,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,since 2005,https://www.HugeDomains.com/company_profile.cfm,https://www.hugedomains.com/about.cfm,link blueLink about-page-content,portfolio_a_text,0.64,machine_extracted_unverified,
39,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Skip to main content,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,skip-main,portfolio_a_text,0.64,machine_extracted_unverified,
40,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,Testimonials,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,side-about-menu checkout-aside ml-15,portfolio_li_text,0.64,machine_extracted_unverified,
18,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,us,https://www.hugedomains.com/about.cfm,https://www.hugedomains.com/about.cfm,font24 colorWhite col d-flex footer-links jc-between threeColFooterNav,portfolio_h4_text,0.72,machine_extracted_unverified,
77,ACI Licensing,https://www.acilicensing.com/,A partial list of our clients,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,sqs-html-content sqs-text-block-container,portfolio_h3_text,0.72,machine_extracted_unverified,
78,ACI Licensing,https://www.acilicensing.com/,BADGLEY MISCHKA,https://www.acilicensing.com/owned-brands,https://www.acilicensing.com/owned-brands,sqs-html-content sqs-text-block-container,portfolio_h3_text,0.72,machine_extracted_unverified,
83,ACI Licensing,https://www.acilicensing.com/,BM-3.JPG,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
79,ACI Licensing,https://www.acilicensing.com/,C&C CALIFORNIA,https://www.acilicensing.com/owned-brands,https://www.acilicensing.com/owned-brands,sqs-html-content sqs-text-block-container,portfolio_h3_text,0.72,machine_extracted_unverified,
84,ACI Licensing,https://www.acilicensing.com/,cclogo.jpg,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
85,ACI Licensing,https://www.acilicensing.com/,Celeb Pink product and logo.jpg,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
86,ACI Licensing,https://www.acilicensing.com/,Chris.JPG,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
87,ACI Licensing,https://www.acilicensing.com/,cslogo.jpg,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
88,ACI Licensing,https://www.acilicensing.com/,flappy.png,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
89,ACI Licensing,https://www.acilicensing.com/,french-1.JPG,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
90,ACI Licensing,https://www.acilicensing.com/,Halle Respin.png,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
91,ACI Licensing,https://www.acilicensing.com/,holly new.JPG,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
92,ACI Licensing,https://www.acilicensing.com/,kathy 3.JPG,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
80,ACI Licensing,https://www.acilicensing.com/,KAY UNGER,https://www.acilicensing.com/owned-brands,https://www.acilicensing.com/owned-brands,sqs-html-content sqs-text-block-container,portfolio_h3_text,0.72,machine_extracted_unverified,
93,ACI Licensing,https://www.acilicensing.com/,KU dress with logo.png,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
94,ACI Licensing,https://www.acilicensing.com/,mario lopez.jpg,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
95,ACI Licensing,https://www.acilicensing.com/,Owned Brands,https://www.acilicensing.com/owned-brands,https://www.acilicensing.com/clients,header-nav-item header-nav-item--collection header-nav-list,portfolio_a_text,0.7,machine_extracted_unverified,
81,ACI Licensing,https://www.acilicensing.com/,RACHEL RACHEL ROY,https://www.acilicensing.com/owned-brands,https://www.acilicensing.com/owned-brands,sqs-html-content sqs-text-block-container,portfolio_h3_text,0.72,machine_extracted_unverified,
96,ACI Licensing,https://www.acilicensing.com/,Retail Partners,https://www.acilicensing.com/retail-partners,https://www.acilicensing.com/clients,header-nav-item header-nav-item--collection header-nav-list,portfolio_a_text,0.7,machine_extracted_unverified,
97,ACI Licensing,https://www.acilicensing.com/,RR.JPG,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
98,ACI Licensing,https://www.acilicensing.com/,rupaul.JPG,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
99,ACI Licensing,https://www.acilicensing.com/,Sanctuary-Clothing-Spring-Summer-2016-Campaign01.jpg,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
100,ACI Licensing,https://www.acilicensing.com/,SC brand image.png,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,image-slide-anchor content-fill,portfolio_image_alt,0.7,machine_extracted_unverified,
101,ACI Licensing,https://www.acilicensing.com/,Skip to Content,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,header-skip-link sqs-button-element--primary header-announcement-bar-wrapper black header theme-col--primary header,portfolio_a_text,0.64,machine_extracted_unverified,
82,ACI Licensing,https://www.acilicensing.com/,static-context,https://www.acilicensing.com/clients,https://www.acilicensing.com/clients,Listed on ACI Licensing portfolio page,portfolio_data-name,0.72,machine_extracted_unverified,
102,ACI Licensing,https://www.acilicensing.com/,Success Stories,https://www.acilicensing.com/success-stories,https://www.acilicensing.com/clients,header-nav-item header-nav-item--collection header-nav-list,portfolio_a_text,0.64,machine_extracted_unverified,
2139,Advocate Art,https://www.advocate-art.com/,0-5 years,https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,clearfix,portfolio_li_text,0.64,machine_extracted_unverified,
2143,Advocate Art,https://www.advocate-art.com/,5 years to young adult,https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,clearfix,portfolio_li_text,0.64,machine_extracted_unverified,
2147,Advocate Art,https://www.advocate-art.com/,[email protected],https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,nav-text nav sidebar,portfolio_li_text,0.64,machine_extracted_unverified,
2151,Advocate Art,https://www.advocate-art.com/,Abigail Burch,https://www.advocate-art.com/abigail-burch,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2155,Advocate Art,https://www.advocate-art.com/,Abigail Hall,https://www.advocate-art.com/abigail-hall,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2159,Advocate Art,https://www.advocate-art.com/,Adam Howling,https://www.advocate-art.com/adam-howling-1,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2169,Advocate Art,https://www.advocate-art.com/,Aditi Kakade Beaufrand,https://www.advocate-art.com/aditi-kakade-beaufrand,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2174,Advocate Art,https://www.advocate-art.com/,Adriana Camargo,https://www.advocate-art.com/adriana-camargo,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2178,Advocate Art,https://www.advocate-art.com/,Adrienne Green,https://www.advocate-art.com/adrienne-green,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2182,Advocate Art,https://www.advocate-art.com/,Advertising,https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,nav navbar-nav navbar-left collapse navbar-collapse app-navbar-collapse,portfolio_li_text,0.64,machine_extracted_unverified,
945,Advocate Art,https://www.advocate-art.com/,Advocate Art at CCBF 2025: Insights from Shanghai,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta news-list-item last-users--artist,portfolio_h4_text,0.72,machine_extracted_unverified,
2186,Advocate Art,https://www.advocate-art.com/,Advocate Art Inc Germany Here,https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,agency change-agency site-languages,portfolio_li_text,0.64,machine_extracted_unverified,
2190,Advocate Art,https://www.advocate-art.com/,Advocate Art Inc Spanish / EU Here,https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,agency change-agency site-languages,portfolio_li_text,0.64,machine_extracted_unverified,
2194,Advocate Art,https://www.advocate-art.com/,Advocate Art Inc UK / ROW Here,https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,agency change-agency site-languages,portfolio_li_text,0.64,machine_extracted_unverified,
954,Advocate Art,https://www.advocate-art.com/,Advocate Community,https://www.advocate-art.com/community/category/meet-the-artists,https://www.advocate-art.com/community/category/meet-the-artists,top-container clearfix container categories-container,portfolio_h2_text,0.72,machine_extracted_unverified,
2198,Advocate Art,https://www.advocate-art.com/,Agents For Illustrators,https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,nav col-md-3 col-xs-12 nopadding two-submenus,portfolio_li_text,0.64,machine_extracted_unverified,
2202,Advocate Art,https://www.advocate-art.com/,Aitolkyn Almenova,https://www.advocate-art.com/aitolkyn-almenova,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
961,Advocate Art,https://www.advocate-art.com/,ALA 2026 with Vickie Savanella,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta news-list-item last-users--artist,portfolio_h4_text,0.72,machine_extracted_unverified,
2206,Advocate Art,https://www.advocate-art.com/,Alan Brown,https://www.advocate-art.com/alan-brown,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2210,Advocate Art,https://www.advocate-art.com/,Alan Lathwell,https://www.advocate-art.com/alan-lathwell,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2214,Advocate Art,https://www.advocate-art.com/,Albert Arrayas,https://www.advocate-art.com/albert-arrayas,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2218,Advocate Art,https://www.advocate-art.com/,Alec Macdonald,https://www.advocate-art.com/alec-macdonald,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2222,Advocate Art,https://www.advocate-art.com/,Alejandra Barajas,https://www.advocate-art.com/alejandra-barajas,https://www.advocate-art.com/artists,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2232,Advocate Art,https://www.advocate-art.com/,Alessandra Fusi,https://www.advocate-art.com/alessandra-fusi,https://www.advocate-art.com/artists?tags=illustrator,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2236,Advocate Art,https://www.advocate-art.com/,Alessandro Valdrighi,https://www.advocate-art.com/alessandro-valdrighi,https://www.advocate-art.com/artists?tags=illustrator,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2240,Advocate Art,https://www.advocate-art.com/,Alice Potter,https://www.advocate-art.com/alice-potter,https://www.advocate-art.com/artists?tags=illustrator,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2244,Advocate Art,https://www.advocate-art.com/,Alicia Rutigliano,https://www.advocate-art.com/alicia-rutigliano,https://www.advocate-art.com/artists?tags=illustrator,name-availability artist-item-meta,portfolio_a_text,0.64,machine_extracted_unverified,
2248,Advocate Art,https://www.advocate-art.com/,Aliz Buzas Bold Journey Feature! May 18 2026,https://www.advocate-art.com/community/2026/05/18/aliz-buzas-bold-journey-feature,https://www.advocate-art.com/community/category/meet-the-artists,news-list-item news-list clearfix,portfolio_a_text,0.64,machine_extracted_unverified,
1826,Advocate Art,https://www.advocate-art.com/,aliz-buzas-bold-journey-feature,https://www.advocate-art.com/community/category/meet-the-artists,https://www.advocate-art.com/community/category/meet-the-artists,news-list-item,portfolio_image_alt,0.7,machine_extracted_unverified,
967,Advocate Art,https://www.advocate-art.com/,Animals,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta folio-item last-users--artist folio-item--more folio-item--show,portfolio_h4_text,0.72,machine_extracted_unverified,
973,Advocate Art,https://www.advocate-art.com/,Antonia Diamandescu,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta last-users--artist,portfolio_h4_text,0.72,machine_extracted_unverified,
979,Advocate Art,https://www.advocate-art.com/,Apr 14 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta news-list-item last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
985,Advocate Art,https://www.advocate-art.com/,Apr 16 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta news-list-item last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
986,Advocate Art,https://www.advocate-art.com/,Apr 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,folio-author last-users--meta folio-item last-users--artist folio-item--more folio-item--show,portfolio_h5_text,0.72,machine_extracted_unverified,
993,Advocate Art,https://www.advocate-art.com/,Apr 22 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta news-list-item last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
1000,Advocate Art,https://www.advocate-art.com/,Apr 23 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta news-list-item last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
2252,Advocate Art,https://www.advocate-art.com/,Art for posters and prints,https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,clearfix,portfolio_li_text,0.64,machine_extracted_unverified,
2256,Advocate Art,https://www.advocate-art.com/,"Art for products, ceramics and jigsaws",https://www.advocate-art.com/artists,https://www.advocate-art.com/artists,clearfix,portfolio_li_text,0.64,machine_extracted_unverified,
1007,Advocate Art,https://www.advocate-art.com/,Artist - Signed Apr 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
1014,Advocate Art,https://www.advocate-art.com/,Artist - Signed Feb 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
1021,Advocate Art,https://www.advocate-art.com/,Artist - Signed Jan 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
1028,Advocate Art,https://www.advocate-art.com/,Artist - Signed Jul 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
1035,Advocate Art,https://www.advocate-art.com/,Artist - Signed Mar 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
1042,Advocate Art,https://www.advocate-art.com/,Artist - Signed May 2026,https://www.advocate-art.com/brochures/diversity-artists-2026,https://www.advocate-art.com/brochures/diversity-artists-2026,last-users--meta last-users--artist,portfolio_h5_text,0.72,machine_extracted_unverified,
2260,Advocate Art,https://www.advocate-art.com/,Artist Day March 2024 Apr 03 2024,https://www.advocate-art.com/community/2024/04/03/artist-day-march-2024,https://www.advocate-art.com/community/category/meet-the-artists,news-list-item news-list clearfix,portfolio_a_text,0.64,machine_extracted_unverified,
2264,Advocate Art,https://www.advocate-art.com/,Artist Day Recap! 2026 Jun 24 2026,https://www.advocate-art.com/community/2026/06/24/artist-day-recap-2026,https://www.advocate-art.com/community/category/meet-the-artists,news-list-item news-list clearfix,portfolio_a_text,0.64,machine_extracted_unverified,
2268,Advocate Art,https://www.advocate-art.com/,Artist Feature - Anuki Lopez Mar 14 2024,https://www.advocate-art.com/community/2024/03/14/artist-feature-anuki-lopez-1,https://www.advocate-art.com/community/category/meet-the-artists,news-list-item news-list clearfix,portfolio_a_text,0.64,machine_extracted_unverified,
2272,Advocate Art,https://www.advocate-art.com/,Artist Feature - Maria Brzozowska May 14 2024,https://www.advocate-art.com/community/2024/05/14/artist-feature-maria-brzozowska,https://www.advocate-art.com/community/category/meet-the-artists,news-list-item news-list clearfix,portfolio_a_text,0.64,machine_extracted_unverified,
2276,Advocate Art,https://www.advocate-art.com/,Artist Feature - Martin Bustamante Oct 23 2024,https://www.advocate-art.com/community/2024/10/23/artist-feature-martin-bustamante-3,https://www.advocate-art.com/community/category/meet-the-artists,news-list-item news-list clearfix,portfolio_a_text,0.64,machine_extracted_unverified,
2280,Advocate Art,https://www.advocate-art.com/,Artist Feature - Paul Nicholls Feb 21 2024,https://www.advocate-art.com/community/2024/02/21/artist-feature-paul-nicholls-3,https://www.advocate-art.com/community/category/meet-the-artists,news-list-item news-list clearfix,portfolio_a_text,0.64,machine_extracted_unverified,
