id,canonical_name,website,domain,region,description,confidence,verification_status,client_count,captured_page_count
3682,Probity Merchandising,https://www.probitymerch.com/,probitymerch.com,United Kingdom and Ireland,"Probity are an independently owned music merchandising company. We offer tour, retail, e-commerce, ticketing and high-quality licensing services worldwide.",0.82,website_fetched_machine_classified,62,8
4008,Sinerji,https://sinerji.com.tr/,sinerji.com.tr,Turkey and Middle East,"Sinerji olarak müşterilerimize; promosyon ürünleri ve PoSM malzemeleri tedarik sürecinin tüm aşamalarını baştan sona yöneterek, komple bir çözüm sunuyoruz.",0.82,website_fetched_machine_classified,53,8
3671,Pink Light Studio,https://www.pinklightstudio.com/,pinklightstudio.com,Global,"Pink Light Studio 0 Skip to Content Home Our Services Gallery Our Artists Our Team Our Mission Trade Shows Contact Us Open Menu Close Menu Home Our Services Gallery Our Artists Our Team Our Mission Trade Shows Contact Us Open Menu Close Menu Home Our Services Gallery Our Artists Our Team Our Mission Trade Shows Contact Us Hi there! At Pink Light Studio, we’re passionate about bringing your products to life through beautiful design. We offer a wide range of B2B services—from art licensing and out",0.82,website_fetched_machine_classified,50,3
740,Black White Orange Brands,https://www.bwobrands.com/,bwobrands.com,India and South Asia,"India's premier brand licensing and creative solutions agency. BWO Brands represents iconic global properties—Universal Studios, Minions, Dragon Ball Z, Manchester City, Popeye, Netflix—and delivers strategic, imaginative partnerships to elevate your projects.",0.88,website_fetched_machine_classified,48,0
1144,Global Merchandising Services,https://www.globalmerchservices.com/,globalmerchservices.com,Global,"GLOBAL Merchandising Services is committed to providing around the clock exceptional client services, maximising revenues and protecting brand integrity, across live events, retail, E-Commerce and licensing",0.82,website_fetched_machine_classified,47,6
730,Bradford Licensing,https://www.bradfordlicensing.com/,bradfordlicensing.com,Global,"Bradford Global 0 Skip to Content About Brands Contact Open Menu Close Menu About Brands Contact Open Menu Close Menu About Brands Contact UNLOCK THE WORLD’S POTENTIAL WITH OUR GLOBAL LICENSING EXPERTISE Welcome to Bradford Global Licensing, where we specialize in forging agreements that become global success stories. Our dedication to personal service places us among the top global licensing agencies. Embark on a journey where innovation, collaboration, and unwavering dedication combine to elev",0.82,website_fetched_machine_classified,42,4
3755,Retail Monster,https://www.retailmonster.com/,retailmonster.com,Global,"We are a global brand extension and licensing company that develops and delivers family brands to retail shelf for Intellectual Property Holders, Retailers, and Product Suppliers alike, through our best-in-class retail relationships, and extensive expertise and capabilities within Licensing, Creative, Marketing, and Sales.",0.88,website_fetched_machine_classified,42,6
691,20too Licensing,https://www.hugedomains.com/domain_profile.cfm?d=20too.com,hugedomains.com,North America,Stress free and easy shopping experience. Simple and speedy service.,0.82,website_fetched_machine_classified,40,0
836,Bravado,https://www.bravado.com/,bravado.com,Australia and New Zealand,Home,0.82,website_fetched_machine_classified,38,6
2488,Licensing Street,https://www.licensingstreet.com/,licensingstreet.com,North America,"**Licensing Street LLC** is a leading **consumer products licensing agency** that specializes in **brand licensing, retail strategy, and go-to-market execution**. We help properties, publishers, and global IP owners expand through strategic **licensing partnerships** across toys, apparel, publishing and more. With direct access to mass, specialty, and value retailers, Licensing Street delivers customized programs that drive **brand growth, shelf presence**, and **revenue expansion**.",0.88,website_fetched_machine_classified,38,1
694,Bavaria Media Licensing,https://www.bavaria-media.de/,bavaria-media.de,United Kingdom and Ireland,"| Bavaria Media Direkt zum Inhalt Bavaria Media Main navigation Content Distribution Music Licensing Team Suche Suche DE EN Content Distribution Music Licensing Bavaria Media Bavaria Media - Providing Full Service in Licensing Brands and Films as well as Music Publishing Hallo und herzlich willkommen bei Bavaria Media. Bei Bavaria Media dreht sich alles um das Licensing: Rechtevertrieb und Verwertung, u. a. von Film, Musik, TV sowie von weltbekannten Marken. News My Ex (OST) von Nicolai Krepart ",0.82,website_fetched_machine_classified,36,4
741,Art Ask Agency,https://artaskagency.com/,artaskagency.com,Global,ArtAskAgency – ArtAskAgency Saltar al contenido ArtAskAgency ArtAskAgency HOME LICENSES ABOUT US NEWS CONTACT DISCLAIMER & PRIVACY POLICY Facebook page opens in new window Instagram page opens in new window Linkedin page opens in new window HOME LICENSES ABOUT US NEWS CONTACT DISCLAIMER & PRIVACY POLICY Innovate. Stand out. Be exclusive. Be distinctive. Exclusive Lifestyle Licenses. HOME LICENSES About us News Disclaimer & Privacy Policy Formulario Nombre * E-mail * Mensaje * Enviar Ir a Tienda ,0.82,website_fetched_machine_classified,30,5
5130,Brand Licensing Innovation Summit,https://www.thegloballicensinggroup.com/,thegloballicensinggroup.com,United Kingdom and Ireland,"Through our world-class tradeshows, best-in-class media brand and educational programs, the Global Licensing Group is the global market-leader in advancing the business of licensing, brand extension and collaborations.",0.83,website_fetched_machine_classified,30,0
695,Artestar,https://www.artestar.com/,artestar.com,India and South Asia,"Artestar is a global licensing agency and creative consultancy representing high-profile artists, photographers, designers and creatives.",0.82,website_fetched_machine_classified,29,4
1235,Golden Goose,https://www.goldengoose.co.uk/,goldengoose.co.uk,United Kingdom and Ireland,"We are Europe's leading strategic licensing agency, experts in growing brands",0.82,website_fetched_machine_classified,29,5
5022,Shooting Stars Licensing,https://www.crazygames.com/c/shooting,crazygames.com,Africa,"Play the Best Online Shooting Games for Free on CrazyGames, No Download or Installation Required. 🎮 Play loading-0 and Many More Right Now!",0.7,website_fetched_machine_classified,27,2
692,ACI Licensing,https://www.acilicensing.com/,acilicensing.com,North America,"ACI Licensing builds brands by bringing together brands, manufacturers and retailers to create great consumer products.",0.82,website_fetched_machine_classified,26,5
2040,Licensing Link Europe,https://licensinglink.net/,licensinglink.net,Australia and New Zealand,"Brand Licensing & Merchandising Agency. Licensing Link is a strategic brand extension and licensing agency, working with an exciting mix of entertainment and lifestyle brands.",0.88,website_fetched_machine_classified,26,8
938,Empire Multimedia,https://empiremultimedia.com/,empiremultimedia.com,China and Asia-Pacific,"Empire Multimedia Corp Contact Us: (632) 8722 4311 | licensing@empiremultimedia About Us Our Brands Animation and Character Movie and Entertainment Fashion and Lifestyle Arts and Design Our Partners Updates Mascot Designs Latest News Contact Careers NO MATTER WHAT BUSINESS YOU ARE IN, WE HAVE THE CHARACTERS, BRANDS, DESIGNS OR MARKETING SOLUTIONS TO INCREASE YOUR SALES. EMPIRE MULTIMEDIA CORPORATION (EMC) has been in the licensing business for more than 30 years and has established an excellent ",0.83,website_fetched_machine_classified,20,3
1328,Haven Global,https://havenglobal.com/,havenglobal.com,Australia and New Zealand,"We develop brand extension strategies for global and local brands. Cultivating relationships between brand owners, retailers and manufacturers we turn great ideas into commercial reality.",0.82,website_fetched_machine_classified,15,3
3541,Perpetual Licensing,https://perpetuallicensing.com/,perpetuallicensing.com,North America,"A full-service brand licensing agency, Perpetual Licensing specializes in creating strategic merchandise licensing programs for brands, and trademark licensing programs for manufacturers",0.88,website_fetched_machine_classified,12,4
3343,MGL Licensing,https://mglart.com,mglart.com,United Kingdom and Ireland,One of the world’s leading art licensing companies,0.82,website_fetched_machine_classified,9,0
4522,The Licensing Shop,https://thelicensingshop.com/,thelicensingshop.com,North America,"TLS THE LICENSING SHOP INC. A Brand Management Company Home ABOUT US The Licensing Shop Inc. (TLS) is a Licensing International Association Award-Winning brand management agency specializing in the strategic development of licensed consumer products and promotional programs based on the intellectual property of the clients we represent in the US and Canadian markets. Founded in 2006, TLS has been thrilled to represent fashion, toy, corporate, celebrity and entertainment brands such as Skechers, ",0.82,website_fetched_machine_classified,8,3
2114,License Connection,https://licenseconnection.com/,licenseconnection.com,Benelux and Europe,Licenseconnection.com - Home Home Brands & Business About Connect & BRIDGING THE GAP BETWEEN CREATIVE AND CORPORATE MAKES DREAMS BECOME REALITY! IT'S A LICENSING THING! LICENSING IS A TEAM OF INDIVIDUALS SHARINGTHE SAME GOAL PERSONAL ATTENTION GETS THE BEST RESULTS License Connection is an independent Licensing Agency & Consultancy Company with more than 25 years of experience in the Licensing Industry. Partnering with National and International Brand Owners by representing their rights in the B,0.83,website_fetched_machine_classified,5,0
1077,Ferly,https://ferlyco.com/,ferlyco.com,Nordics and Europe,"Ferly is a brand building company specializing in creating franchises through TV, film, digital products, licensing, and publishing.",0.82,website_fetched_machine_classified,4,3
5158,Those Licensing People,https://www.thoselicensingpeople.com/,thoselicensingpeople.com,United Kingdom and Ireland,"Domain registration has expired. Renewal instructions If you own this domain , you may still be able to renew it through your Namecheap account. To renew: sign in, open Domain List , select this domain , and choose Renew . Sign in · Renewal help · Renewal and redemption fees Renew this domain Want a domain name like this? Discover domains on auction now See all auctions Download the Namecheap Auctions app Take auctions with you wherever you go",0.82,website_fetched_machine_classified,2,1
5027,ETS Licensing,https://www.ets.org/login.html,ets.org,Italy and Europe,"Log in or create your account with the Educational Testing Service (ETS) to access GRE, TOEFL, Praxis and other application portals. Need help signing in? Get assistance and support here.",0.7,website_fetched_machine_classified,1,1
972,Evolution USA,https://evolutionusa.com/,evolutionusa.com,North America,"A Burbank, CA production company known for innovative television programming, films and documentaries, founded in 1987 by Douglas Ross.",0.82,website_fetched_machine_classified,1,2
4692,The Sharpe Company,https://www.sharpeco.net/,sharpeco.net,India and South Asia,"Sharpe Co. is a family owned business with experience providing innovations in services like reprographics, construction and custom signage.",0.82,website_fetched_machine_classified,1,1
4895,Vertical Licensing,https://www.verticallicensing.com.br/,verticallicensing.com.br,Brazil and Latin America,"Vertical Licensing é a agência de licenciamento oficial de Playstation, Smurfs, Masha e o Urso, 3 Palavrinhas, Popeye, Miffy, Betty Boop, God of War, The Last of Us, Winx",0.82,website_fetched_machine_classified,1,1
784,ARTiSTORY,https://www.artistorybrands.net/,artistorybrands.net,Global,专注于文化、艺术、科学、图书等领域 IP 的海外运营权利投资与全链路授权服务，连接艺术与商业的专业机构,0.82,website_fetched_machine_classified,0,3
693,Astound,https://astound.us/,astound.us,Global,"Astound.us is a new kind of Illustration agency business, based in Manhattan.",0.82,website_fetched_machine_classified,0,1
804,Bridgeman Images,https://www.bridgemanimages.com/,bridgemanimages.com,Global,,0.82,website_fetched_machine_classified,0,1
863,Caravanserai Partners,https://mysticalmorocco.net,mysticalmorocco.net,Europe,Launching Soon,0.82,website_fetched_machine_classified,0,0
4986,Copyrights Asia,https://www.usa.gov/agencies/copyright-office,usa.gov,North America,"The Copyright Office administers the national copyright system and provides advice on copyright law to congress, federal agencies, the courts and the public.",0.7,website_fetched_machine_classified,0,3
885,Creative Licensing Corporation,https://creativelicensing.com/,creativelicensing.com,North America,,0.82,website_fetched_machine_classified,0,1
1024,Exim Licensing Group,https://eximlicensing.com/,eximlicensing.com,Latin America,,0.82,website_fetched_machine_classified,0,1
1401,Goldenberry Group,https://goldenberrygroup.com/,goldenberrygroup.com,North America,Goldenberry Group | Quality Engineering · Automation · AI G Goldenberry Group . Servicios Nosotros Tecnologías Proceso Contactar Servicios Nosotros Tecnologías Proceso Contactar WhatsApp Directo Contáctanos por WhatsApp Comuníquese con nosotros al número: +51 961 746 587 Abrir WhatsApp Cerrar Quality Engineering WE ENGINEER QUALITY Through AUTOMATION ARTIFICIAL INTELLIGENCE QUALITY ASSURANCE EXPLORA SERVICIOS Nuestro Proceso SCROLL Lo que hacemos Servicios de Clase Mundial Ingeniería de calidad ,0.82,website_fetched_machine_classified,0,1
2380,Licensing Matters Global,https://www.licensingmattersglobal.com/,licensingmattersglobal.com,Global,Home (Not in Service) - Licensing Matters,0.82,website_fetched_machine_classified,0,1
3249,Lisa Marks Associates,https://lisamarks.com/,lisamarks.com,India and South Asia,Cargo,0.82,website_fetched_machine_classified,0,3
3215,LMCA,https://www.lmca.net/,lmca.net,Global,Corporate brand licensing experts that excel in enhancing global brand equity through client focused solutions.,0.82,website_fetched_machine_classified,0,1
3448,Medialink Group,https://www.medialink.com.hk/,medialink.com.hk,Asia-Pacific,,0.82,website_fetched_machine_classified,0,1
3531,Pacific Licensing Studio,https://www.pacificlicensing.com/,pacificlicensing.com,Asia-Pacific,Pacific Licensing Studio,0.82,website_fetched_machine_classified,0,1
3527,Pacific Swell Brands,https://pacificswellbrands.com/,pacificswellbrands.com,North America,"Full service, boutique brand licensing agency in Los Angeles, CA. Clients include Loteria, Manic Panic and VP Racing Fuels.",0.85,website_fetched_machine_classified,0,1
3789,Redibra,https://www.redibra.com.br/,redibra.com.br,Brazil and Latin America,Veja quais as marcas que a Redibra trabalha.,0.82,website_fetched_machine_classified,0,1
3948,Rocket Licensing,https://rocketlicensing.com/,rocketlicensing.com,United Kingdom and Ireland,"Rocket Licensing – An independent licensing and brand development agency based in London Toggle Navigation About Brands Team Clients Case Studies Contact Rocket Home Limepark Studios 23 September 2024 9 December 2025 THE ELF ON THE SHELF® X MCDONALDS MIFFY X CAMBRIDGE SATCHEL THE ELF ON THE SHELF® X WILD IN ART MIFFY X CATH KIDSTON HORRIBLE SCIENCE X KEW GARDENS ESA X LOBSTER & LEMONADE MIFFY X BLADE & ROSE Welcome to Rocket Licensing! Launched in 2007, we are an independent award-winning licens",0.82,website_fetched_machine_classified,0,1
4206,Seltzer Licensing Group,https://www.seltzerlicensing.com/,seltzerlicensing.com,North America,Seltzer Licensing Group – Unlocking brand growth through strategic brand licensing Skip to content Clients Industry Insights Services Get In Touch Strategic Partnership UNILEVER ICE CREAM WITH REESE’S Brand Extension SCOTTS MIRACLE-GROW LAWN TOOLS Limited Edition Collection DOVE x CRUMBL Co-Branded Licensing C4 x POPSICLE New Revenue Stream AMERICAN RED CROSS x SLEEPYPOD Fashion Collabs POPSICLE x REEBOK Fan Service Merchandise NBC’s THE OFFICE Branded Experiences AMERICAN NINJA WARRIOR ADVENTUR,0.88,website_fetched_machine_classified,0,2
4370,Spacetoon International Licensing,https://spacetoongroup.com/,spacetoongroup.com,Middle East and North Africa,"Discover Spacetoon Group’s world of entertainment, media, and creativity.",0.82,website_fetched_machine_classified,0,4
4279,Spotlight Licensing and Brand Management,https://spotlightlicensing.com/,spotlightlicensing.com,North America,"The industry source for expertise in brand, character, and entertainment licensing.",0.82,website_fetched_machine_classified,0,1
4294,Striker Entertainment,https://www.strikerentertainment.com/,strikerentertainment.com,North America,"Striker Entertainment, LLC | Strategic Licensing and Brand Management. Toggle navigation About Process Properties Clients Production Awards Contact About Our Company Russell Binder Redefining Entertainment Licensing Striker Entertainment is a cutting edge entertainment, marketing agency specializing in the extension of pop culturally relevant brands into powerful and profitable consumer products programs. Striker has represented, and grown impactful consumer products programs domestically and wo",0.82,website_fetched_machine_classified,0,1
4285,Surge Licensing,https://www.surgelicensing.com/,surgelicensing.com,North America,"Surge Licensing : Home Company Projects News Contact WEBTOON® is the world's largest digital comics platform, home to some of the biggest artists, IP, and fandoms in comics. With an average of 82+ million monthly active users, and WEBTOON adaptations on Netflix, HBO Max, and other screens around the world, WEBTOON's passionate fandoms are the new face of pop culture! Leading creators Chad Wild Clay & Vy Qwaint’s Spy Ninjas is the #1 most viewed YouTube story-driven media franchise, with 20 milli",0.82,website_fetched_machine_classified,0,3
4721,TSBA Group,https://www.tsbagroup.com/,tsbagroup.com,Global,"Landing Page | TSBA top of page More Use tab to navigate through the menu items. We are TSBA, The Sports and Brands Licensing Agency. We are a professional, client-focused, global licensing agency. We bring together creativity, collaboration and brand cohesion to produce beautiful branded products that delight and engage consumers. Who Are We Our site is currently down for maintenance, but you can still contact us regarding your licensing requirements. Contact Us First name Last name Email Write",0.82,website_fetched_machine_classified,0,2
