id,canonical_name,normalized_name,company_type,website,region,country,description,first_source_id,evidence_count,first_seen_at,last_seen_at,represented_brand_count
619,Brand Fresh Management,brand fresh management,licensing_agency,https://brandfreshmanagement.com/,Europe,,"Lifestyle, sport and entertainment",79,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,357
542,The Joester Loria Group,the joester loria group,licensing_agency,https://www.joesterloriagroup.com/,Global,,"Corporate, food and entertainment",30,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,319
49,Semk Global Marketing,semk global marketing,licensing_agency,https://www.semk.net/,Global,,"Client List: Ctrip, Popmart, OTC Happy Valley, Milkana, Pizza Hut, McDonald's, Casio, FujiFlim, momax, Nivea, Vinda, Watsons, Listerine, Thermos, Casablanca, Darlie, MeadJohnson, Zippo, Chery, Chów Tai Fook, CEB Credit Card, Huawei, BTS Thailand, Central World Bangkok, IconSiam Bangkok, Hong Kong Ocean Park, City of Dream Macau, Tesco Thailand, Family Mart, Tencent and NetEase.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,141
46,Rights & Brands,rights and brands,licensing_agency,https://rightsandbrands.com/,Global,,"Client List: Moomin Characters, The Astrid Lindgren Company, Peyo, Company, King Features, Sam Wilde, Stig Lindberg Design, Star Stable and The Carl & Karin Larsson Estate.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,128
2,CAA Brand Management,caa brand management,licensing_agency,https://www.caa.com/,Global,,"Client List: Anheuser-Busch, Artestar, Baby Milo, Bath and Body Works, Beatrix Potter, Bob Marley, Bobcat, Bugatti, California Pizza Kitchen, Condé Nast, The Cheesecake Factory, Coca-Cola, Dr. Seuss, Draper James, Ford, Formula One, Frida Kahlo, Genshin Impact, Headspace, Iconix, Jonathan Adler, McLaren, Minecraft, Miffy, Mondelez, Ms. Rachel, Netflix, One Championship, Outdoor Voices, PacSun, Paddington Bear, Paramount Pictures, Playboy, Porsche, Red Bull Racing, Riot Games, Royal Berkshire Polo Club, Sesame Workshop, Smurfs, Sony Pictures, Spalding, Stumble Guys, Subway, CAA Talent and UCLA.",14,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,127
620,Born Licensing,born licensing,licensing_agency,https://bornlicensing.com/,Global,,Advertising and promotional licensing,80,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,118
26,Guangzhou Art-Land Holding Company,guangzhou art land holding company,licensing_agency,,Global,,"Client List: More than 300 licensees including: Aimer Kids, Annil, Anker, Balabala, Babycare, Bata, Belle, Beazero, Bilibili, Biore, Baidu, Bananain, Blink, C&S, Chow Tai Fook, China Merchants Bank, Citizen, Centrum, Culturelle, Cotti, d'zzit, DAZZLE, Dettol, Dencare, Deli stationery, Deep Breath, Edition, EF Education, Fila, Fipo, Frog Prince, Garden, Forever 21, Glico, Gukoo, Haidilao, Hewlett Packard (HP), HLA, Hsufuchi, I.T, Igc, IMIS, IP Snack, Jandoon, JD.com, JUST.FOTO, Kabrita, Kappa, Kawasaki, Kayou, KFC, KEEP, KKV, Knighthood, L'OCCITANE, Lawson, Lecoq sportif, Larbee, Linlee, Luckin, Maxim's cakes, McCormick, Midea, Mideer, Milkground, MINISO, Mylafe, Meitu, Meituan, Mokingran, Naixue, Nest Designs, Nestle, Nutrilon, Only, Orion, Palladium, Peacebird, POP MART, Paw in Paw, Rio, SANFU, Sanli, Sembo Block, Semir, Shiseido, Skechers, Soap Studio, SOGO Department, Starbucks, STAYREAL, Sunrana, Supafresh, Super Player, Synear, TATA, Tim Hortons, TOI, Trendy Sound, 361°, 85℃, Ulik",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,113
29,Jewel Branding & Licensing,jewel branding and licensing,licensing_agency,https://www.jewelbranding.com/,Global,,"Client List: New York Botanical Garden, Frank Lloyd Wright Foundation, MFA Boston, Natural History Museum, Georgia O'Keeffe Museum, National Wildlife Federation, Sanderson, Morris & Co., Simplified by Emily Ley, Nikki Chu, Plum Pretty Sugar, Rachael Hale, EttaVee, Mia Charro, Krissy Mast, Turnowsky and Ceci New York Portfolio of Artists.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,88
39,MHS Licensing + Consulting,mhs licensing consulting,licensing_agency,,Global,,"Client List: Thomas Kinkade, Abraham Hunter, Hautman Brothers, Accent Art Studio, Al Agnew, Amira Rahim, Amylee Weeks, Audrey Jeanne Roberts, Bethany Joy, Blue Chair Blessing, Brett Blumenthal, Buck Wear, By The Lakeside, Carol Cavalaris, Carrie Goller, Collin Bogle, Corbert Gauthier, Courtney Morgenstern, Cranston Collection, Darrell Bush, Deane Beesley, Diane Labombarbe, Emiko Rainbow, Femvisionary, Fine Frenchie, Fluidity, H. Hargrove, Hayden Lambson, Image World, James Meger, Jennifer Seeley, Jetty Home, Jim Baldwin, Jim Killen, JJ Design House, John Keeling, Judy Buswell, Kelley Parker, Ken Zylla, Kim Norlien, Kris Jagers, Larry Hersberger, Larry McFerrin, Lindsay Kivi, Louise Carey, Lovitude, Luis Fitch, Mehu Art, Nina Blue, Northern Promotions, PDR Studios, Russ Duerksen, Sally Barlow, Scot Storm, Stephanie Ryan, Tara Moss, Terrence Fogarty, Terry Doughty, Tina Higgins, UTurn Studios, Val Warner, Valerie Wieners, Victoria Schultz and Yvonne Coleman Burney.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,63
37,Medialink Animation International,medialink animation international,licensing_agency,,Global,,"Client List: emoji, Le Petit Prince, Sesame Street, Sesame Street Mecha Builders, Garfield, Star Trek, LINE FRIENDS, BT21, POPEYE, CUPHEAD, “THE CUPHEAD SHOW,” Pinkfong World & Pinkfong Baby Shark, The Little Prince and Friends, Usagyuuun, Betty Boop, Lychee and Friends, Bluey, Mr Men and Little Miss, Robocar Poli, Shewsheep, Sunlemon, Kawanimal, Ohigenopon, Nailoong, Quby, Mobile Suit Gundam UC, Mobile Suit Gundam Seed, Mobile Suit Gundam, Bebefinn, “Genshin Impact,” Honkai Star Rail, Tears of Themis, Zenless Zone Zero, “Jujutsu Kaisen,” Blue Lock, Oshi No Ko, Chainsaw Man, City Hunter The Movie: Angel Dust, Dr. Stone, Fullmetal Alchemist, Gintama, Haikyu!!, Initial D, Kuroko's Basketball, Laid-Back Camp, My Hero Academia, Yu-Gi-Oh!, Solo Leveling, hololive, JOGUMAN, Cardcaptor Sakura Clear Card, Kaiju No. 8, GACHIAKUTA, Godzilla, Yu Yu Hakusho, “Evangelion,” MASHLE MAGIC AND MUSCLES, OVERLORD, UMAMUSUME Pretty Derby, Yuru Camp, Takopi's original sin, Kowloon Generic Romance, DREAM AN",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,63
577,Firefly Brand Management,firefly brand management,licensing_agency,https://fireflybrandmanagement.com/,North America,,"Lifestyle, design and entertainment",64,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,62
21,Evolution USA,evolution usa,licensing_agency,https://www.evolutionusa.com/,Global,,"Client List: Revelyst Brands: Simms Fishing, Primo Hunting, Camp Chef, Fox Racing, Hoppe's 9, Blackburn, Bushnell, Bushnell Golf, Camelbak, Senna Brands: Ayrton Senna, Senna Driven, “Senna” (Netflix Series); Loteria, Dali Universe, Ella Fitzgerald Estate, Smoko, Neopets, Pressman Films: “The Crow,” “American Psycho;” Gaumont Television: “Narcos,” “Narcos Mexico,” “Hannibal,” “Silent Hill,” “Return to Silent Hill;” Morgan Creek Entertainment (U.S. rights) and Revolution Studios (International rights): “Ace Ventura,” “Black Hawk Down,” “Coupe de Ville,” “Dead Ringers,” “Exorcist III,” “Exorcist: The Beginning,” “Exorcist: Domination,” “Get Carter,” “Heist,” “Juwanna Mann,” “Major League,” “Nightbreed,” “Punch Drunk Love,” “The Crush,” “The Whole Nine Yards,” “The Fog” (2005), “True Romance,” “Young Guns,” “3000 Miles to Graceland,” Licensee Clients: Arcane Wonders, Blip Toys, Cosmox, Fashion Angels, MVN Entertainment, Phenom Elite, PMI, Sky Castle Toys, UCC and Woobles.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,51
12,Brandgenuity,brandgenuity,licensing_agency,https://brandgenuity.com/,Global,,"Client List: BMW, Church & Dwight (ARM & HAMMER, OxiClean, Flawless, Trojan), Nissan (GTR, Z, NISMO, Datsun), Mike’s Hot Honey, EA (The Sims), Conagra (Swiss Miss, Vlasic), Dr. Scholl’s, Purple, KFC, Kona Ice, Sazerac (Buffalo Trace, Fireball, Southern Comfort), Edgewell Personal Care (Banana Boat, Hawaiian Tropic, Cremo, Schick, Skintimate, Wet Ones), Kao (Jergens, John Freida), Royal Shakespeare Company and NFL Players Association (Europe only).",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,49
571,Larkshead Licensing,larkshead licensing,licensing_agency,https://larksheadlicensing.com/,UK,,"Boutique publishing, heritage and entertainment",50,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,45
314,Earthbound Brands,earthbound brands,licensing_agency,https://earthboundbrands.com/,North America and Global,,"Corporate, food, lifestyle, automotive and celebrity brand extensions",88,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,41
24,Global Merchandising Services,global merchandising services,licensing_agency,https://www.globalmerchservices.com/,Global,,"Client List: Iron Maiden, Oasis, Ozzy Osbourne, Backstreet Boys, Mötley Crüe, Motörhead, Niall Horan, Skibidi Toilet, Fender, Liquid Death, CBGB, Alice Cooper, Ghost, Sleep Token, Zayn Malik, Jade Thirwall, Slayer, Take That, Rob Zombie, Misfits, Halsey and Fred Again.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,41
38,Merchantwise Group (Merchantwise and Asembl),merchantwise group merchantwise and asembl,licensing_agency,,Global,,"Client List: Aardman, Activision Blizzard, Apple Corp, Australian Olympic Committee, Bandai Namco, Bethesda, Ceremony of Roses (Sony Music), Easy Partners, EMOJI, Flying Bark/Studio 100, Future Shirts, Graeme Base, Hasbro, Legendary Entertainment, Magic Light Pictures, Manhead Merch, Microsoft, Netflix, Perryscope, Sega, Sony Film, Sony TV, The Lumistella Company, The Northcott Society/Cerebral Palsy Alliance, Toho, WildBrain, WMX, Asahi, Cinnabon, Cola-Cola Company, Diageo, Mars, Kikkoman, The Cheesecake Shop, McCormick, Menz, Perfetti Van Melle, The Magnum Ice Cream Company, Moulin Rouge, Rip Curl International and Cath Kidston.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,40
42,Peaks Partners,peaks partners,licensing_agency,,Global,,"Client List: Boggi, Lyle & Scott, Pinko, Caovilla, Armani, Kiton, Lancel, Mulberry, Cardio Bunny, Von Dutch, Thomas Pink, Palm Angels, Sporty & Rich, White Stuff, Off White, Stefanel, G Star RAW, French Connection, Sister Jane, Ben Sherman, True Religion, Tally Weijl, Fiorucci, Gola, Vivienne Westwood, ISAIA, Giuseppe Zanotti, IRO Paris, Autry, Moschino, Freddy, Etro, Michael Kors, Charles Tyrwhitt, Aspinal London, Harmont & Blaine, ISABEL MARANT, Just Cavalli, Marni and Santoni.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,39
23,Global Icons,global icons,licensing_agency,https://globalicons.com/,Global,,"Client List: America250, American Airlines, Automobili Lamborghini, Aprilia, Betty Boop, D Billions, Danimals, Fabuloso, Hostess, Michelin, Moto Guzzi, OIKOS, Omaha Steaks, Renault, Spyker, United States Postal Service, Vespa and Volkswagen.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,32
48,Seltzer Licensing Group,seltzer licensing group,licensing_agency,https://seltzerlicensing.com/,Global,,"Client List: Unilever including their brands Dove, Axe, Hellmann's and Vaseline, The Magnum Ice Cream Company (formerly part of Unilever) and their brands, Ben & Jerrys, Breyers, Klondike, Popsicle, Good Humor, Cornetto, The Suave Brands Company (Suave for Kids), Perio (Barbasol), Scotts, Miracle-Gro, American Red Cross, Rust-Oleum, Blue Diamond, Almond Breeze, Checkers/Rally's, Zippo, UPS, NBC (“American Ninja Warrior”), Wolf (“Law & Order”), Bravo (“The Real Housewives”), National Parks Foundation, Perfetti Van Melle's AirHeads, Harvest Hill including Sunny D and Juicy Juice, California Pizza Kitchen, Mack Truck and Empire State Building.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,30
550,Movantia,movantia,licensing_agency,https://www.movantia.com/,Europe and Global,,Premium corporate brand extension and partner development,67,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,29
54,TreImage,treimage,licensing_agency,https://treimage.com/,Global,,"Client List: Sunkist, Pipeline, B Duck, Fan Cup, Knuckle Heads, Afro Goddess Warriors, Head, Master P, Ja Rule and Solider Boy.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,28
50,Starwood Brands,starwood brands,licensing_agency,,Global,,"Client List: adidas, Reebok, Spalding, Russell, MLB, FIFA, Hurley, Billabong, Gaiam, Ralph Lauren, Nautica, Original Penguin, Ben Sherman, Express, BCBG, Vigoss, Fruit of the Loom, Scotts, Miracle-Gro, Brookstone, RCA, Disney, Nickelodeon, Squishmallows, Moonbug, General Mills, Aquafina and many more.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,27
554,Bradford Licensing,bradford licensing,licensing_agency,https://www.bradfordlicensing.com/,Global,,"Lifestyle, corporate, food and entertainment licensing",89,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,26
9,Brand Capital Marketing,brand capital marketing,licensing_agency,https://brandcapitalmarketing.com/,Global,,"Client List: Trex, Brown Jordan, Wagner Spraytech, Hearst Media (Country Living, Good Housekeeping, House Beautiful, Car and Driver, Road & Track, Prevention, Men's Health, Women's Health), Spectrum Brands (Cutter, Repel, Spectracide, Ecologic, Garden Safe, Hot Shot and Black Flag), Barrett Firearms and Polywood.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,23
6,ARTiSTORY,artistory,licensing_agency,https://www.artistorybrands.com/,Global,,"Client List: CHAGEE, Malaysia Airports, Lele Sadoughi, UOOYYA, Moleskine, JD.com, Intel and Siam Paragon.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,21
45,Retail Monster,retail monster,licensing_agency,https://www.retailmonster.com/,Global,,"Client List: Dr Seuss (Retail), Hasbro (Retail), Minecraft (Retail), Moonbug (Retail), Netflix (Retail), Sega (Retail - U.K.), Sony (Retail), Electronic Arts, Fall Guys (Devolver Digital), Fuggler (Libertas Brands), Foundation Media Partners, Happy Nest, Hari Studios, Hidden Pigeon Company, Paddington (Studio Canal Kids & Family), Slumberkins, Voltron, Warrior Cats (Coolabi), Youtooz, Surprise Drinks, SnapBrands and TY.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,21
35,LMCA (Leveraged Marketing Corporation of America),lmca leveraged marketing corporation of america,licensing_agency,,Global,,"Client List: WeightWatchers (North America), Electrolux, Frigidaire, HP, Philips, Castrol, AEG, Compaq, Kodak, Odwalla, Wurlitzer, Weatherbeater, Continental, Philco, Emerson, Somela, RCA, Kelvinator, Thomson, Minolta and Discovery Zone.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,20
15,Broad Street Licensing Group,broad street licensing group,licensing_agency,https://bslg.com/,Global,,"Client List: Burger King, Subway, Rich Products, Hard Rock, SeaPak, Farm Rich, OWS Foods, Tony Roma's, BIC USA, Wyler's Light, Otter Pops and Pure Kick.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,18
584,Mediatoon Licensing,mediatoon licensing,licensing_agency,https://mediatoon-licensing.com/en/,"Europe, Middle East and Global",,"Publishing, comics, animation, experiences and location-based entertainment",93,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,18
10,Brand Central,brand central,licensing_agency,https://brandcentralgroup.com/,Global,,"Client List: Mars Wrigley, J.M. Smucker Co., Kraft Heinz, Tapatio Hot Sauce, Bimbo Bakeries, Boston Beer Company and Calypso Lemonade.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,17
52,SunGate Partners,sungate partners,licensing_agency,https://sungatepartners.com/,Global,,"Client List: Dann Foley, Erinn Valencich, Vanessa Deleon, Taniya Nayak, Mat Sanders, Shayla Copas, Jennifer Maune, Pavarini Design, Mat Sanders, Mary Elizabeth Marvin, Michael McHale, Mark Zunino, The New York Post, BleuLife Media, American Folk Art Museum, Fast Company Magazine, Inc. Magazine, French Culinary Institute and Natural Gourmet Institute.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,17
8,Brand Appeal Group,brand appeal group,licensing_agency,https://brandappealgroup.com/,Global,,"Client List: Martha Stewart, Sur La Table, Cherokee, Gaiam, PsychoBunny, Elen Tracy, John Deere, Rebecca Minkoff, Kappa, Roots and TaylorMade.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,16
16,Bulldog Licensing,bulldog licensing,licensing_agency,https://www.bulldog-licensing.com/,Global,,"Client List: Tamagotchi, Me to You, BioWare, Beano, Match Attax, Sesame Street, Rolling Stone Magazine, Beyblade X, Mr Bean, Pinch of Nom, That's not my ..., Beddybyes, Popeye, Care Bears, Kidz Bop, Totally Spies and Bullseye.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,16
20,DeAPlaneta Entertainment,deaplaneta entertainment,licensing_agency,https://www.deaplanetaentertainment.com/,Global,,"Client List: Mediawan, SuperProd, Moody, ROI Animation, Animaj, Spin Master, Kidscave, Global Music, Mangouste, Cloudco Entertainment, IMPS, Seaseme Workshop, The Jim Henson Company, CJ, Million Volt and Miraculous Corp.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,15
548,Licensing Matters Global,licensing matters global,licensing_agency,https://licensingmattersglobal.com/,Global,,"Corporate, food, publishing and lifestyle",62,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,15
51,Striker Entertainment,striker entertainment,licensing_agency,https://strikerentertainment.com/,Global,,"Client List: Scottgames, AMC Networks, Media Rights Capital, Horror, Inc., Squanch Games, Blumhouse, Cosmic Debris, Nuggetverse, NHK Japan, Orange Comet, Alcon Entertainment, Evoke Entertainment, HazeLight, Relatable and Taurus.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,15
55,TSG Brands,tsg brands,licensing_agency,,Global,,"Client List: Crocs, New Balance, HEAD, Wilson, Champion, Lands'end, Everlast, Steve Madden, Ann Klein, Ann Taylor, Rachel Zoe, Perry Ellis , Penguin, True Religion, Hudson and more.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,15
34,Lisa Marks Associates (LMA),lisa marks associates lma,licensing_agency,,Global,,"Client List: Bazooka Candy Brands (Bazooka, Ring Pop, Push Pop, Baby Bottle Pop, Juicy Drop), PEZ, WARHEADS, Sweethearts, Dum Dums, Necco, Bit-O-Honey, WARHEADS, Mentos, Chupa Chups, Smarties, Fun Sweets, MoonPie, Wounded Warrior Project, It's Happy Bunny and Avanti Press.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,14
18,Collaborations Licensing,collaborations licensing,licensing_agency,,Global,,"Client List: Bauducco, Bums & Roses, Coyote Promotions, Critical Role, Dr. Squatch, Grüns, Hedley & Bennett, Jukebox, Little Words Project, Mush, OLIPOP, Palace, Sauz and Smash Kitchen.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,13
36,Maurizio Distefano The Evolution of Licensing,maurizio distefano the evolution of licensing,licensing_agency,,Global,,"Client List: Acamar, Bagdasarian, BBC, Animaccord, Cloud Co, MGA, Moonbug, Editions Albert Renee, GMS, Perryscope, Bravado, Beanstalk, ISA and People.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,13
47,Rocket Licensing,rocket licensing,licensing_agency,https://rocketlicensing.com/,Global,,"Client List: Acamar Films, Amazon MGM Studios, BocPix, Eastman Kodak Co, The European Space Agency (ESA), Joester Loria Group for “Dog Man,” Legendary Entertainment, Mercis, Scholastic and The Lumistella Company.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,13
56,Tycoon Enterprises,tycoon enterprises,licensing_agency,https://tycoon.mx/en/,Global,,"Client List: Sanrio, Paramount, NBC Universal, Warner Brothers, BBC Company, The Hershey Company, Cloudco Entertainment, VIZ Media, FC Barcelona and Real Madrid.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,13
43,Pure Brands,pure brands,licensing_agency,https://pure-brands.com/,Global,,"Client List: Mercedes-Benz, Automobili Lamborghini, RUF, KETTLER, Pininfarina, Nilu, DEUTZ-FAHR, LIEBHERR, St. Moritz, ESCADA, Strenesse, ALFRED SUNG and ZEISS.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,12
5,Alifish,alifish,licensing_agency,https://ip.alibaba.com/,Global,,"Client List: POP MART, MINISO, KFC, McDonald’s, SEGA, BANDAI, GAP, THERMOS, luckin coffee, heytea, tbh and Razer.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,11
27,Haven Global,haven global,licensing_agency,https://havenglobal.com/,Global,,"Client List: Sanrio, Paramount, Pokémon, Dr Seuss Enterprises, EPL (Arsenal FC, Manchester City FC, Chelsea FC, Tottenham Hotspurs FC, West Ham United FC, Newcastle United FC), The Wiggles, Penguin, “Sesame Street,” Pusheen, Frida Kahlo, Moonbug, Mulga the Artist and The Doodle Boy.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,11
30,Joester Loria Group (JLG),joester loria group jlg,licensing_agency,,Global,,"Client List: PepsiCo, Constellation Brands, Chiquita, Post Holdings, Kellanova, Talking Rain, Toyota, Papyrus, Eric Carle, Miffy, Dav Pilkey (“Dog Man,” “Captain Underpants”) and Van Holten.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,11
17,CLC,clc,licensing_agency,https://clc.com/,Global,,"Client List: CLC currently represents nearly 800 colleges and universities, athletic conferences, bowls, the NCAA, the College Football Playoff, Heisman Trophy Trus and other top collegiate brands, as well as other sports, entertainment and scholastic brands such as the National Baseball Hall of Fame, Operation Hat Trick and hundreds of K-12 schools and state athletic associations.",6,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,10
