id,name,source_type,agency_name,region,country,focus,priority,official,access_mode,parser,base_url,crawl_url,notes,status,http_status,final_url,robots_status,pages_fetched,raw_candidates,promoted_entities,started_at,finished_at,elapsed_ms,error
18,Brandgenuity,agency_portfolio,Brandgenuity,Global,,Corporate and lifestyle licensing,1,1,public_js,browser_portfolio,https://brandgenuity.com/,https://brandgenuity.com/clients/,,complete,200,https://brandgenuity.com/clients,allowed,2,158,158,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,27645,
19,Global Icons,agency_portfolio,Global Icons,Global,,"Corporate, automotive, food and destination-adjacent brands",1,1,public_js,browser_portfolio,https://globalicons.com/,https://globalicons.com/clients/,,complete,404,https://globalicons.com/our-clients,allowed,2,64,64,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,30942,
20,WildBrain CPLG,agency_portfolio,WildBrain CPLG,Global,,"Entertainment, heritage, lifestyle and location-based experiences",1,1,public_js,browser_portfolio,https://www.wildbrain.com/cplg,https://www.wildbrain.com/cplg,,complete,404,https://www.wildbrain.com/licensing/wildbrain-cplg,allowed,2,918,918,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,30517,
22,ARTiSTORY,agency_portfolio,ARTiSTORY,Global,,"Museums, archives, cultural institutions and experiences",1,1,public_js,browser_portfolio,https://www.artistorybrands.com/,https://www.artistorybrands.com/,,complete,200,https://artistorybrands.com/our-work/fila-x-centre-pompidou,allowed,2,23,23,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,29118,
29,Jewel Branding and Licensing,agency_portfolio,Jewel Branding and Licensing,Global,,"Museums, conservation, art, design and lifestyle",1,1,public_js,browser_portfolio,https://www.jewelbranding.com/,https://www.jewelbranding.com/clients/,,complete,200,https://www.jewelbranding.com/,allowed,2,196,196,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,31960,
37,Pure Brands,agency_portfolio,Pure Brands,Europe and Global,,"Premium automotive, luxury, destination and technology",1,1,public_js,browser_portfolio,https://pure-brands.com/,https://pure-brands.com/,,complete,200,https://www.hugedomains.com/domain_profile.cfm?d=pure-brands.com,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,16542,
40,Rights and Brands,agency_portfolio,Rights and Brands,Nordic and Global,,"Publishing, art, design and Nordic lifestyle",1,1,public_js,browser_portfolio,https://rightsandbrands.com/,https://rightsandbrands.com/brands/,,complete,200,https://rightsandbrands.com/how-licensing-works/,allowed,2,328,328,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,46256,
41,Rocket Licensing,agency_portfolio,Rocket Licensing,UK and Europe,,"Entertainment, publishing, science and heritage",1,1,public_js,browser_portfolio,https://rocketlicensing.com/,https://rocketlicensing.com/brands/,,complete,404,https://rocketlicensing.com/,allowed,2,8,8,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,32060,
42,Seltzer Licensing Group,agency_portfolio,Seltzer Licensing Group,North America,,"Corporate, nonprofit, heritage and lifestyle",1,1,public_js,browser_portfolio,https://seltzerlicensing.com/,https://seltzerlicensing.com/clients/,,complete,404,https://www.seltzerlicensing.com/,allowed,2,3,3,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,47450,
48,LicenseWorks,agency_portfolio,LicenseWorks,India and South Asia,,"Corporate, heritage, automotive and lifestyle",1,1,public_js,browser_portfolio,https://licenseworks.co/,https://licenseworks.co/portfolio/,,complete,404,https://www.licenseworks.co/,allowed,2,657,657,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,48119,
57,Global Trademark Licensing,agency_portfolio,Global Trademark Licensing,Global,,"Automotive, motorsport and luxury",1,1,public_js,browser_portfolio,https://globaltrademarklicensing.com/,https://globaltrademarklicensing.com/brands/,,complete,404,https://www.globaltrademarklicensing.com/portfolio-clients,allowed,2,947,947,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,54649,
58,GLG Brands,agency_portfolio,GLG Brands,Global,,"Large corporate, automotive, media and lifestyle portfolio",1,1,public_js,browser_portfolio,https://www.glg-brands.com/,https://www.glg-brands.com/brands-list,,complete,200,https://www.glg-brands.com/brand-licensing1/acer,allowed,2,2785,2785,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,55380,
86,Alifish,agency_portfolio,Alifish,China,,"Alibaba IP licensing, commercialization and brand matching platform",1,1,public_js,browser_portfolio,https://ip.alibaba.com/,https://ip.alibaba.com/,,complete,200,https://ip.alibaba.com/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,32399,
88,Earthbound Brands,agency_portfolio,Earthbound Brands,North America and Global,,"Corporate, food, lifestyle, automotive and celebrity brand extensions",1,1,public_js,browser_portfolio,https://earthboundbrands.com/,https://earthboundbrands.com/licensing/,,complete,200,https://earthboundbrands.com/services/brand-licensing-strategy/,allowed,2,124,124,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,48439,
7,Hong Kong International Licensing Show,conference_exhibitor_directory,,Asia,,Asian licensing market,2,1,public_js,browser_portfolio,https://www.hktdc.com/event/hklicensingshow/en,https://www.hktdc.com/event/hklicensingshow/en,,complete,200,https://www.hktdc.com/event/hklicensingshow/en/citywide-promotion,allowed,2,907,907,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,45701,
8,Licensing Expo Shanghai,conference_exhibitor_directory,,China,,China and international licensors,2,1,public_js,browser_portfolio,https://en.licensingexpochina.com/,https://en.licensingexpochina.com/,,complete,200,https://en.licensingexpochina.com/,allowed,2,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,46252,
17,Brand Central,agency_portfolio,Brand Central,North America,,"Food, beverage, lifestyle and corporate brands",2,1,public_js,browser_portfolio,https://brandcentralgroup.com/,https://brandcentralgroup.com/,,complete,200,https://brandcentral.com/,allowed,1,23,23,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,14795,
23,Broad Street Licensing Group,agency_portfolio,Broad Street Licensing Group,Global,,"Food, corporate and lifestyle",2,1,public_js,browser_portfolio,https://bslg.com/,https://bslg.com/,,complete,200,https://bslg.com/brand-representation/,allowed,2,20,20,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,36310,
26,Evolution USA,agency_portfolio,Evolution USA,North America,,"Outdoor, sport, automotive and art",2,1,public_js,browser_portfolio,https://www.evolutionusa.com/,https://www.evolutionusa.com/,,complete,200,https://www.evolutionusa.com/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,17547,
28,IMC Licensing,agency_portfolio,IMC Licensing,North America,,"Corporate, food and lifestyle brands",2,1,public_js,browser_portfolio,https://imclicensing.com/,https://imclicensing.com/clients/,,complete,404,https://imclicensing.com/,allowed,2,7,7,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,27992,
30,The Joester Loria Group,agency_portfolio,The Joester Loria Group,Global,,"Corporate, food and entertainment",2,1,public_js,browser_portfolio,https://www.joesterloriagroup.com/,https://www.joesterloriagroup.com/,,complete,200,https://www.joesterloriagroup.com/our-clients,allowed,2,1154,1154,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,34158,
34,Merchantwise,agency_portfolio,Merchantwise,Australia and New Zealand,,"Lifestyle, entertainment, food and outdoor",2,1,public_js,browser_portfolio,https://www.merchantwise.com/,https://www.merchantwise.com/brands/,,complete,403,https://merchantwise.com/,allowed,2,11,11,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,28623,
44,The Brand Liaison,agency_portfolio,The Brand Liaison,North America,,"Fashion, art, automotive and lifestyle",2,1,public_js,browser_portfolio,https://thebrandliaison.com/,https://thebrandliaison.com/clients/,,complete,404,https://thebrandliaison.com/,allowed,2,789,789,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,52065,
49,The Point.1888,agency_portfolio,The Point.1888,UK and Europe,,"Retail-led licensing across heritage, entertainment and lifestyle",2,1,public_js,browser_portfolio,https://thepoint1888.com/,https://thepoint1888.com/brands/,,complete,200,https://thepoint1888.com/brands/,unknown,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,14412,"static SSLError: HTTPSConnectionPool(host='thepoint1888.com', port=443): Max retries exceeded with url: /brands/ (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostn"
53,Pink Key Licensing,agency_portfolio,Pink Key Licensing,UK and Global,,"Heritage food, design and lifestyle",2,1,public_js,browser_portfolio,https://pinkkeylicensing.com/,https://pinkkeylicensing.com/brands/,,failed,0,https://pinkkeylicensing.com/brands/,unknown,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,7288,"browser Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://pinkkeylicensing.com/brands/
Call log:
  - navigating to ""https://pinkkeylicensing.com/brands/"", waiting until ""domcontentloaded""
 | static ConnectionError: HTTPSConnectionPool(host='pinkkeylicensing.com', port=443): Max retries exceeded with url: /brands/ (Caused by NameResolutionError(""HTTPSConnection(host='pinkkeylicensing.com', port=443): Failed to resol"
55,JELC,agency_portfolio,JELC,UK and Europe,,Brand extension strategy and corporate licensing,2,1,public_js,browser_portfolio,https://jelc.co.uk/,https://jelc.co.uk/,,failed,0,https://jelc.co.uk/,unknown,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,7003,"browser Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://jelc.co.uk/
Call log:
  - navigating to ""https://jelc.co.uk/"", waiting until ""domcontentloaded""
 | static ConnectionError: HTTPSConnectionPool(host='jelc.co.uk', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='jelc.co.uk', port=443): Failed to resolve 'jelc.co.uk' ([Errno -2]"
59,Pacific Licensing Studio,agency_portfolio,Pacific Licensing Studio,Southeast Asia,,"Entertainment, corporate and experiential activations",2,1,public_js,browser_portfolio,https://pacificlicensing.com/,https://pacificlicensing.com/brands/,,complete,520,https://pacificlicensing.com/brands/,unknown,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,6068,
62,Licensing Matters Global,agency_portfolio,Licensing Matters Global,Global,,"Corporate, food, publishing and lifestyle",2,1,public_js,browser_portfolio,https://licensingmattersglobal.com/,https://licensingmattersglobal.com/portfolio/,,complete,200,https://www.licensingmattersglobal.com/portfolio/case-studies/,allowed,2,44,44,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,21852,
66,LIT Licensing Agency,agency_portfolio,LIT Licensing Agency,Europe,,"Art, lifestyle, pop culture and entertainment",2,1,public_js,browser_portfolio,https://litlicens.com/,https://litlicens.com/portfolio/,,complete,404,https://litlicens.com/,allowed,2,7,7,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,24817,
67,Movantia,agency_portfolio,Movantia,Europe and Global,,Premium corporate brand extension and partner development,2,1,public,generic_portfolio,https://www.movantia.com/,https://www.movantia.com/eng/brand-licensing-agency/,,complete,200,https://www.movantia.com/eng/meeting/,allowed,2,31,31,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,6370,
68,CODIMAGE,agency_portfolio,CODIMAGE,France and Global,,Luxury and premium brands,2,1,public,generic_portfolio,https://www.codimage.fr/,https://www.codimage.fr/pages/codimage-licensing-agency-specialized-in-luxury-brands.html,,complete,200,https://www.codimage.fr/pages/brands-managed-by-codimage.html,allowed,2,4,4,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,17674,
69,Brand Appeal Group,agency_portfolio,Brand Appeal Group,North America,,"Lifestyle, outdoors, sports and corporate brands",2,1,public_js,browser_portfolio,https://brandappealgroup.com/,https://brandappealgroup.com/brands/,,complete,404,https://www.brandappealgroup.com/brands/,allowed,1,7,7,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,9705,
70,Brand Capital Marketing,agency_portfolio,Brand Capital Marketing,North America,,"Hearst media, automotive and lifestyle brands",2,1,public_js,browser_portfolio,https://brandcapitalmarketing.com/,https://brandcapitalmarketing.com/brands/,,complete,404,https://brandcapitalmarketing.com/licensing-benefits/,allowed,2,70,70,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,27505,
72,Global Merchandising Services,agency_portfolio,Global Merchandising Services,Global,,Music and cultural properties,2,1,public_js,browser_portfolio,https://www.globalmerchservices.com/,https://www.globalmerchservices.com/roster/,,complete,200,https://www.globalmerchservices.com/full-roster-pdf,allowed,2,70,70,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,18225,
73,Glam Licensing and Consulting,agency_portfolio,Glam Licensing and Consulting,Europe and Global,,"Automotive, heritage and lifestyle",2,1,public_js,browser_portfolio,https://glamlicensing.com/,https://glamlicensing.com/brands/,,failed,0,https://glamlicensing.com/brands/,unknown,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,123112,"browser TimeoutError: Page.goto: Timeout 45000ms exceeded.
Call log:
  - navigating to ""https://glamlicensing.com/brands/"", waiting until ""domcontentloaded""
 | static ConnectionError: HTTPSConnectionPool(host='glamlicensing.com', port=443): Max retries exceeded with url: /brands/ (Caused by NewConnectionError(""HTTPSConnection(host='glamlicensing.com', port=443): Failed to establish a "
75,SunGate Partners,agency_portfolio,SunGate Partners,North America,,"Design, media, museums and culinary brands",2,1,public_js,browser_portfolio,https://sungatepartners.com/,https://sungatepartners.com/clients/,,complete,403,https://sungatepartners.com/clients/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,12186,
81,Licensing Works,agency_portfolio,Licensing Works,North America,,"Classic literature, culture and entertainment",2,1,public_js,browser_portfolio,https://licensingworks.us/,https://licensingworks.us/properties/,,complete,404,https://www.licensingworks.us/meet-our-clients/,allowed,2,3,3,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,27672,
87,Surge Brands,agency_portfolio,Surge Brands,Global,,"Corporate, luxury, food, confectionery and entertainment licensing",2,1,public_js,browser_portfolio,https://www.surge-brands.com/,https://www.surge-brands.com/about,,complete,200,https://www.surge-brands.com/clients,allowed,2,6,6,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,17612,
89,Bradford Licensing,agency_portfolio,Bradford Licensing,Global,,"Lifestyle, corporate, food and entertainment licensing",2,1,public_js,browser_portfolio,https://www.bradfordlicensing.com/,https://www.bradfordlicensing.com/,,complete,200,https://www.bradfordlicensing.com/brands,allowed,2,84,84,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,20916,
92,Pacific Swell Brands,agency_portfolio,Pacific Swell Brands,North America and Global,,"Boutique licensing for iconic automotive, cultural and lifestyle brands",2,1,public_js,browser_portfolio,https://www.pacificswellbrands.com/,https://www.pacificswellbrands.com/,,complete,200,https://www.pacificswellbrands.com/about-us,allowed,2,2,2,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,22758,
9,China Licensing Expo,conference_exhibitor_directory,,China,,China licensing ecosystem,3,1,public_js,browser_portfolio,https://www.chinalicensingexpo.com/en/,https://www.chinalicensingexpo.com/en/exhibitor/,,complete,200,https://www.chinalicensingexpo.com/cn/exhibitor,allowed,2,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,30792,
10,Licensing Japan,conference_exhibitor_directory,,Japan,,Japanese IP and brand licensing,3,1,public_js,browser_portfolio,https://www.content-tokyo.jp/hub/en-gb/about/licensing.html,https://www.content-tokyo.jp/hub/en-gb/about/licensing.html,,complete,404,https://www.content-tokyo.jp/hub/en-gb/about/licensing.html,allowed,1,13,13,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,12050,
21,CLC,agency_portfolio,CLC,North America,,Collegiate licensing,3,1,public_js,browser_portfolio,https://clc.com/,https://clc.com/,,complete,200,https://clc.com/boston-college-teams-up-with-clc-to-elevate-brand-licensing-program/,allowed,2,4,4,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,14203,
24,Bulldog Licensing,agency_portfolio,Bulldog Licensing,UK,,Entertainment and selected lifestyle brands,3,1,public_js,browser_portfolio,https://www.bulldog-licensing.com/,https://www.bulldog-licensing.com/portfolio/,,complete,404,https://www.bulldog-licensing.com/portfolio/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,8824,
27,Haven Global,agency_portfolio,Haven Global,Australia and New Zealand,,"Family, lifestyle and cultural properties",3,1,public_js,browser_portfolio,https://havenglobal.com/,https://havenglobal.com/brands/,,complete,404,https://havenglobal.com/brands/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,8053,
32,Maurizio Distefano Licensing,agency_portfolio,Maurizio Distefano Licensing,Italy and Europe,,"Entertainment, lifestyle and art",3,1,public_js,browser_portfolio,https://www.mdistefanolicensing.com/,https://www.mdistefanolicensing.com/portfolio/,,complete,404,https://www.mdistefanolicensing.com/,allowed,2,9,9,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,43517,
33,Medialink,agency_portfolio,Medialink,Asia,,"Entertainment, publishing and cultural properties",3,1,public_js,browser_portfolio,https://www.medialink.com.hk/,https://www.medialink.com.hk/,,complete,200,https://www.medialink.com.hk/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,25362,"browser Error: Page.evaluate: TypeError: Cannot read properties of null (reading 'scrollHeight')
    at eval (eval at evaluate (:291:30), <anonymous>:1:15)
    at eval (<anonymous>)
    at UtilityScript.evaluate (<anonymous>:291"
38,Redibra,agency_portfolio,Redibra,Brazil and Latin America,,Entertainment and corporate brands,3,1,public_js,browser_portfolio,https://redibra.com/,https://redibra.com/,,failed,0,https://redibra.com/,unknown,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,1075,"browser Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://redibra.com/
Call log:
  - navigating to ""https://redibra.com/"", waiting until ""domcontentloaded""
 | static ConnectionError: HTTPSConnectionPool(host='redibra.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='redibra.com', port=443): Failed to resolve 'redibra.com' ([Errno "
46,Tycoon Enterprises,agency_portfolio,Tycoon Enterprises,Latin America,,Major global brands in Latin America,3,1,public_js,browser_portfolio,https://tycoon.mx/en/,https://tycoon.mx/en/brands/,,complete,200,https://tycoon.mx/en/brands/,allowed,2,13,13,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,13939,
50,Larkshead Licensing,agency_portfolio,Larkshead Licensing,UK,,"Boutique publishing, heritage and entertainment",3,1,public_js,browser_portfolio,https://larksheadlicensing.com/,https://larksheadlicensing.com/,,complete,200,https://www.larksheadlicensing.com/portfolio-landing,allowed,2,158,158,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,15362,
52,Brands with Influence,agency_portfolio,Brands with Influence,UK and Global,,"Celebrity, media and lifestyle",3,1,public_js,browser_portfolio,https://brandswithinfluence.com/,https://brandswithinfluence.com/brands/,,complete,404,https://www.brandswithinfluence.com/brands/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,10008,
54,Caroline Mickler Limited,agency_portfolio,Caroline Mickler Limited,UK and Global,,"Music, culture and entertainment",3,1,public_js,browser_portfolio,https://www.carolinemickler.com/,https://www.carolinemickler.com/clients/,,complete,404,https://www.carolinemickler.com/clients/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,8189,
56,Licensing Link Europe,agency_portfolio,Licensing Link Europe,Europe,,"Entertainment, heritage and lifestyle",3,1,public_js,browser_portfolio,https://licensinglink.net/,https://licensinglink.net/brands/,,complete,404,https://licensinglink.net/brands/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,7304,
60,KOPA Licensing and Branding,agency_portfolio,KOPA Licensing and Branding,Latin America,,"Music, culture and entertainment",3,1,public,generic_portfolio,https://www.kopa.com.co/,https://www.kopa.com.co/portfolio.html,,complete,200,https://www.kopa.com.co/portfolio.html,allowed,1,1,1,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,959,
61,Black White Orange,agency_portfolio,Black White Orange,India and South Asia,,Brand licensing and merchandising,3,1,public_js,browser_portfolio,https://blackwhiteorange.com/,https://blackwhiteorange.com/,,complete,200,https://www.hugedomains.com/domain_profile.cfm?d=blackwhiteorange.com,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,12214,
64,Firefly Brand Management,agency_portfolio,Firefly Brand Management,North America,,"Lifestyle, design and entertainment",3,1,public_js,browser_portfolio,https://fireflybrandmanagement.com/,https://fireflybrandmanagement.com/brands/,,complete,200,https://fireflybrandmanagement.com/,allowed,2,73,73,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,44293,
65,WP Brands,agency_portfolio,WP Brands,Australia and New Zealand,,Consumer brands and licensing,3,1,public_js,browser_portfolio,https://wpbrands.com.au/,https://wpbrands.com.au/brands/,,complete,403,https://wpbrands.com.au/brands/,unknown,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,9967,
71,Brentwood Licensing,agency_portfolio,Brentwood Licensing,North America,,Classic American lifestyle and heritage,3,1,public_js,browser_portfolio,https://brentwoodlicensing.com/,https://brentwoodlicensing.com/brands/,,complete,200,https://brentwoodlicensing.com/brands/,unknown,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,10992,"static SSLError: HTTPSConnectionPool(host='brentwoodlicensing.com', port=443): Max retries exceeded with url: /brands/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed:"
74,Moxie and Company,agency_portfolio,Moxie and Company,North America,,"Publishing, design, media and housewares",3,1,public_js,browser_portfolio,https://moxieco.com/,https://moxieco.com/clients/,,complete,403,https://moxieco.com/clients/,allowed,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,21647,
76,Timeless Brands LATAM,agency_portfolio,Timeless Brands,Latin America,,Brand representation and licensing,3,1,public,generic_portfolio,https://timelessbrands.mx/,https://timelessbrands.mx/agency,,complete,200,https://timelessbrands.mx/,allowed,2,8,8,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,1492,
82,Licensing Management International,agency_portfolio,Licensing Management International,Global,,Corporate and entertainment licensing,3,1,public_js,browser_portfolio,https://lmiworld.com/,https://lmiworld.com/brands/,,failed,0,https://lmiworld.com/brands/,unknown,1,0,0,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,1287,"browser Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://lmiworld.com/brands/
Call log:
  - navigating to ""https://lmiworld.com/brands/"", waiting until ""domcontentloaded""
 | static ConnectionError: HTTPSConnectionPool(host='lmiworld.com', port=443): Max retries exceeded with url: /brands/ (Caused by NameResolutionError(""HTTPSConnection(host='lmiworld.com', port=443): Failed to resolve 'lmiworld.com"
83,MDR Brand Management,agency_portfolio,MDR Brand Management,Global,,Brand management and licensing,3,1,public_js,browser_portfolio,https://mdrbrand.com/,https://mdrbrand.com/,Confirm current ownership/status before crawl.,complete,200,https://mdrbrand.com/,allowed,1,16,16,2026-08-30T12:54:41+00:00,2026-08-30T12:54:41+00:00,6536,
